Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Advanced Practice Strategies,https://www.crunchbase.com/organization/advanced-practice-strategies,"E-Learning, Health Care, Internet, Medical","Boston, Massachusetts, United States",Boston-based e-learning and talent management platform for clinicians,"22,931",http://www.aps-web.com/,https://www.linkedin.com/company/advanced-practice-strategies-aps,info@aps-web.com,1(877) 450-0,John Harrington,Nov-50,1,M&A,3/31/15,"$12,000,000 ",Series C,"$12,000,000 "
InnFocus Inc,https://www.crunchbase.com/organization/innfocus-inc,"Biotechnology, Medical, Medical Device","Miami, Florida, United States",InnFocus is a biomaterials company developing products for the ophthalmology sector.,"23,271",http://innfocusinc.com,,info@innfocusinc.com,305-378-2651,Leonard Pinchuk,10-Jan,3,M&A,12/23/15,"$33,900,000 ",Series C,"$49,400,000 "
ScanScout,https://www.crunchbase.com/organization/scanscout,"Ad Network, Advertising, Video","Boston, Massachusetts, United States",ScanScout is a technology-driven video advertising network connecting brands and consumers through internet-connected digital devices.,"23,312",http://www.scanscout.com,https://www.linkedin.com/company-beta/50009/?pathWildcard=50009,press@scanscout.com,,"Steven Lee, Waikit Lau",Nov-50,6,M&A,10/28/09,"$8,500,000 ",Series B,"$22,600,000 "
Mustbin,https://www.crunchbase.com/organization/mustbin-inc,"Android, Enterprise Software, Information Technology","Boston, Massachusetts, United States",Mustbin is an app that enables you to put everything important in one place.,"23,724",http://www.mustbin.com,http://www.linkedin.com/company/mustbin-inc-,support@mustbin.com,617-431-4883,Brian Shin,Nov-50,3,M&A,5/28/14,"$1,500,000 ",Series A,"$7,365,000 "
Bioarray Therapeutics,https://www.crunchbase.com/organization/bioarray-therapeutics,"Biopharma, Biotechnology, Medical","Boston, Massachusetts, United States",Diagnostics for effective cancer treatment sooner.,"24,660",http://bioarray.us/,https://www.linkedin.com/company/bioarray-therapeutics-inc.,info@bioarray.us,8606797128,Marcia Fournier,10-Jan,3,Early Stage Venture,10/5/17,"$4,000,000 ",Series B,"$5,468,163 "
Epic Health,https://www.crunchbase.com/organization/epic-health,Health Care,"Miami, Florida, United States","Direct primary care model, everyone has access to great healthcare.","24,711",http://www.epic.md/,https://www.linkedin.com/company/12955204/,info@epic.md,1(188)874-73742,Matt Wanderer,Nov-50,1,Early Stage Venture,12/7/17,"$3,000,000 ",Series A,"$3,000,000 "
enEvolv,https://www.crunchbase.com/organization/enevolv,"Biotechnology, Genetics","Boston, Massachusetts, United States","enEvolv designs and develops microorganisms to produce chemicals, enzymes, and small molecules.","24,903",http://enevolv.com,http://www.linkedin.com/company/enevolv-inc-,bd@enevolv.com,6178459010,"Farren Isaacs, George Church, Jay Konieczka, Marco Farsheed",Nov-50,1,Early Stage Venture,3/13/14,"$1,794,845 ",Series A,"$1,794,845 "
Railpod,https://www.crunchbase.com/organization/railpod,Robotics,"Boston, Massachusetts, United States",RailPod provides the inspector with a visual depiction of the track environment supported by quantifiable.,"25,927",http://www.rail-pod.com,https://www.linkedin.com/company/railpod-inc.,inquiries@rail-pod.com,617-826-9536,Brendan English,10-Jan,2,Early Stage Venture,6/16/14,"$2,500,000 ",Series A,"$2,600,000 "
Brickell Biotech,https://www.crunchbase.com/organization/brickell-biotech,"Biotechnology, Health Care, Therapeutics","Miami, Florida, United States","Brickell Biotech is focused on the acquisition, development, and commercialization of drug therapies for the treatment of skin diseases.","26,176",http://www.brickellbio.com,https://www.linkedin.com/company/brickell-biotech,info@brickellbio.com,7865242721,"Andrew Sklawer, Reginald Hardy",Nov-50,4,Late Stage Venture,2/3/15,"$10,000,000 ",Series C,"$25,414,587 "
Biscayne Pharmaceuticals,https://www.crunchbase.com/organization/biscayne-pharmaceuticals,"Biotechnology, Pharmaceutical, Therapeutics","Miami, Florida, United States",Biscayne Pharmaceuticals discovers and develops novel therapies based on growth hormone-releasing hormone (GHRH) analogs.,"26,179",http://biscaynepharma.com,https://www.linkedin.com/company/biscayne-pharmaceuticals-inc-,,305-793-7326,"Jared Mendel, Joshua Michael Hare, Samuel J. Reich",Nov-50,6,Early Stage Venture,1/31/17,"$3,000,000 ",Series B,"$11,137,000 "
Prexa Pharmaceuticals,https://www.crunchbase.com/organization/prexa-pharmaceuticals,"Biotechnology, Health Care, Health Diagnostics","Boston, Massachusetts, United States","Prexa Pharmaceuticals develops small molecule monoamine reuptake inhibitors as a treatment for ADHD, depression and Parkinson‰Ûªs disease.","26,478",http://www.prexainc.com,,egraham@prexainc.com,617-780-1443,Charlie Cohen,10-Jan,2,Early Stage Venture,5/11/11,"$7,000,000 ",Series B,"$10,200,000 "
Rhythm Metabolic,https://www.crunchbase.com/organization/rhythm-metabolic,"Developer Platform, Health Care, Pharmaceutical","Boston, Massachusetts, United States",Rhythm Metabolic is the subsidiary of Rhythm Pharmaceuticals.,"27,229",http://www.rhythmtx.com,,,,,Nov-50,1,Early Stage Venture,8/13/15,"$40,000,000 ",Series A,"$40,000,000 "
QualMetrix,https://www.crunchbase.com/organization/qualmetrix,"Analytics, Health Care, Information Technology","Miami, Florida, United States","QualMetrix provides healthcare analytics, insights and innovative reporting to payers, providers and employers.","28,592",http://qualmetrix.com,http://www.linkedin.com/company/3117910,,(305) 728-0798,"Adam House, Lawrence Schimmel",Nov-50,4,Early Stage Venture,6/10/15,"$5,000,000 ",Series B,"$6,085,000 "
PerkStreet Financial,https://www.crunchbase.com/organization/perkstreet-financial,"Banking, Finance, Personal Finance","Boston, Massachusetts, United States",PerkStreet Financial is a banking platform that provides cash back opportunities and offers for spending on users‰Ûª debit cards.,"28,913",http://www.perkstreet.com,https://www.linkedin.com/company/myshipper,info@perkstreet.com,866-792-2834,"Dan O'Malley, Jason Henrichs",Nov-50,3,Early Stage Venture,5/11/11,"$9,000,000 ",Series B,"$16,000,000 "
Yeloha,https://www.crunchbase.com/organization/yeloha,"Energy, Solar","Boston, Massachusetts, United States",Yeloha is a website where users can share solar power and be compensated for harvesting solar power.,"29,325",http://www.yeloha.com/,https://www.linkedin.com/company/yeloha,info@yeloha.com,,"Amit Rosner, Idan Ofrat, Paolo Tedone",Nov-50,2,Early Stage Venture,4/8/15,"$3,500,000 ",Series A,"$4,500,000 "
LabMinds,https://www.crunchbase.com/organization/labminds-ltd,"Hardware, Robotics, Software","Boston, Massachusetts, United States",Laboratory Equipment Development,"29,623",http://labminds.co.uk,,contact@labminds.co.uk,44 1865 250 038,"Camilla Oxley, Jochen W. Klingelhoefer, Ville Lehtonen",Nov-50,3,Early Stage Venture,2/4/15,"$3,200,000 ",Series A,"$6,200,000 "
OnPlace inc.,https://www.crunchbase.com/organization/onplace-inc,"FinTech, Funding Platform, Management Consulting","Boston, Massachusetts, United States",OnPlace is a FinTech platform that allows you to elicit maximum potential from your investments.,"29,886",https://onplace.io,https://www.linkedin.com/company/onplace-inc. ,info@onplace.io,+1 (425) 493-7798,Evgeniy Perikov,Nov-50,3,Early Stage Venture,5/15/17,"$1,100,000 ",Series A,"$2,300,000 "
MyEnergy,https://www.crunchbase.com/organization/earth-aid,"Clean Energy, Energy Efficiency","Boston, Massachusetts, United States",MyEnergy is a personalized guide to energy savings with tips and incentives for reducing energy consumption and saving on utility bills.,"30,761",http://www.myenergy.com,,info@myenergy.com,1-617-357-0800,"Ben Bixby, Greg O'Keeffe, Rahul Prakash",Nov-50,2,M&A,2/3/11,"$4,000,000 ",Series A,"$4,000,000 "
SciFluor Life Sciences,https://www.crunchbase.com/organization/scifluor-life-sciences,"Biotechnology, Health Care, Medical","Boston, Massachusetts, United States",SciFluor Life Sciences develops fluorination technologies that improve drug properties such as metabolic stability and potency.,"31,502",http://www.scifluor.com,https://www.linkedin.com/company/scifluor-life-sciences-llc,,(617) 684-4748,"Takeru Furuya, Tobias Ritter",10-Jan,2,Early Stage Venture,4/21/15,"$30,000,000 ",Series B,"$35,000,000 "
Ember Therapeutics,https://www.crunchbase.com/organization/ember-therapeutics,"Biotechnology, Health Care, Therapeutics","Boston, Massachusetts, United States",Ember Therapeutics develops the power of brown fat biology and insulin sensitization to develop treatments for metabolic diseases.,"31,606",http://www.embertx.com,,info@embertx.com,617-585-2000,"Bruce Spiegelman, C. Ronald Kahn, Patrick Griffin",Nov-50,1,Early Stage Venture,12/15/11,"$34,000,000 ",Series A,"$34,000,000 "
BoardProspects,https://www.crunchbase.com/organization/boardprospects,"Education, Professional Networking, Professional Services","Boston, Massachusetts, United States",BoardProspects provides educational tools and resources to improve boardroom services.,"31,670",http://boardprospects.com,,mark@boardprospects.com,781-794-1600,"Bobby Driscoll, Mark Rogers",Nov-50,2,Early Stage Venture,10/15/13,"$2,400,000 ",Series A,"$3,050,000 "
Media Armor,https://www.crunchbase.com/organization/media-armor,"Advertising, Analytics, Mobile","Boston, Massachusetts, United States","Media Armor is a consumer-level technology company focused on cross-channel relevance and revenue, and consumer-level marketing.","31,888",http://mediaarmor.com,,contact@mediaarmor.com,617-302-7667,"Elizabeth Zalman, Eric Brown",Nov-50,2,M&A,2/10/12,"$1,530,000 ",Series A,"$1,780,000 "
Dailybreak Media,https://www.crunchbase.com/organization/campuslive,"Advertising, Gaming, Video Games","Boston, Massachusetts, United States",Dailybreak Media maintains a gaming site that provides gamified experiences for various brands.,"31,891",http://www.dailybreakmedia.com,,advertising@dailybreak.com,617.451.1790,Boris Revsin,Nov-50,4,Early Stage Venture,6/11/13,"$2,000,000 ",Series A,"$10,510,000 "
Tal Medical,https://www.crunchbase.com/organization/tal-medical,"Health Care, Medical Device, Neuroscience","Boston, Massachusetts, United States","Tal Medical is a developer of non-contact, neuromodulatory device for the treatment of psychiatric and neurological disorders.","32,847",http://talmedical.com,https://www.linkedin.com/company/tal-medical-inc-,info@talmedical.com,6174822333,Andrew Miller,Nov-50,2,Early Stage Venture,4/21/15,"$14,000,000 ",Series A,"$14,700,000 "
Innerscope Research,https://www.crunchbase.com/organization/innerscope-research,"Biotechnology, Market Research","Boston, Massachusetts, United States",Innerscope Research delivers audience and consumer insights using neuroscience informed biometrics.,"33,190",http://innerscoperesearch.com,http://www.linkedin.com/company/innerscope-research,,(617)904-0555,Carl D. Marci,Nov-50,1,M&A,9/21/11,"$9,400,000 ",Series A,"$9,400,000 "
Continuus Pharmaceuticals,https://www.crunchbase.com/organization/continuus-pharmaceuticals,"Biotechnology, Medical, Pharmaceutical","Boston, Massachusetts, United States","Continuus Pharmaceuticals designs, builds, and runs manufacturing processes for pharmaceutical and generic clients.","34,312",http://continuuspharma.com,http://www.linkedin.com/company/continuus-pharmaceuticals,info@continuuspharma.com,6174176433,"Bayan Takizawa, Salvatore Mascia",10-Jan,3,Early Stage Venture,6/18/14,"$2,463,659 ",Series A,"$2,728,659 "
LuckyLabs,https://www.crunchbase.com/organization/luckylabs,"Casual Games, Gaming, Video Games","Boston, Massachusetts, United States",LuckyLabs is an entertainment company developing snackable entertainment and games.,"35,929",http://luckylabs.com,http://www.linkedin.com/company/2059539,info@luckylabs.com,617-598-0897,Steven N. Kane,Nov-50,1,Early Stage Venture,5/15/12,"$3,500,000 ",Series A,"$3,500,000 "
Goby,https://www.crunchbase.com/organization/goby,"Search Engine, Travel","Boston, Massachusetts, United States",Goby is a travel website that searches selected databases and other web sources for things to do while traveling.,"36,520",http://www.goby.com,,info@goby.com,(617) 423-0322,"Mark Watkins, Michael Stonebraker, MÌ_jde Pamuk, Vince Russo",Nov-50,2,M&A,10/20/10,"$2,500,000 ",Series A,"$7,200,000 "
Soundtracker,https://www.crunchbase.com/organization/soundtracker,"Digital Entertainment, Mobile Apps, Music","Washington, District of Columbia, United States",Soundtracker is a geosocial mobile music network enabling users to track the music their friends and neighbors listen to in real time.,"37,573",http://www.soundtracker.fm,,daniele@soundtracker.fm,202-460-2183,Daniele Calabrese,Nov-50,3,M&A,12/20/12,"$1,400,000 ",Series A,"$2,200,000 "
Springleaf Therapeutics,https://www.crunchbase.com/organization/springleaf-therapeutics,"Biopharma, Biotechnology, Therapeutics","Boston, Massachusetts, United States",SpringLeaf Therapeutics develops drug delivery technologies.,"39,484",http://www.springleaftx.com,,info@springleaftx.com,617-358-4927,Michael Cima,Nov-50,3,Early Stage Venture,7/8/11,"$19,047,501 ",Series B,"$34,591,251 "
Healthrageous,https://www.crunchbase.com/organization/healthrageous,"Biotechnology, Hardware, Health Care, Pharmaceutical, Software","Boston, Massachusetts, United States",Healthrageous is a digital health management company supporting individuals to prevent and self-manage chronic health conditions.,"39,721",http://www.healthrageous.com,,info@healthrageous.com,781-466-7866,"Doug McClure, Frederic Chanay, Frederick C. (Rick) Lee, Joseph C. Kvedar, Mary Beth Chalk",Nov-50,3,Early Stage Venture,10/15/12,"$6,500,000 ",Series B,"$15,015,700 "
Newser,https://www.crunchbase.com/organization/newser,News,"Miami, Florida, United States","Newser is an online news service that provides stories from hundreds of sources and reduces them to a headline, picture, and two paragraphs.","40,495",http://www.newser.com,https://www.linkedin.com/company/newser-llc,feedback@newser.com,13122687157,"Michael Wolff, Michael Wolff",Nov-50,1,Early Stage Venture,6/18/09,"$2,500,000 ",Series A,"$2,500,000 "
CrowdEngineering,https://www.crunchbase.com/organization/crowdengineering,"Crowdsourcing, Customer Service, Enterprise Software, Social CRM, Software","Boston, Massachusetts, United States","CrowdEngineering builds social CRM solutions, empowering companies to turn the force of their crowds into business advantages.","41,308",http://www.crowdengineering.com,http://www.linkedin.com/company/862496,pr@crowdengineering.com,650-275-2335,"Gioacchino La Vecchia, Massimo Piccioni",Nov-50,2,Early Stage Venture,3/28/11,"$4,000,000 ",Series A,"$4,350,000 "
Novophage,https://www.crunchbase.com/organization/novophage-2,Biotechnology,"Boston, Massachusetts, United States",Novophage is providing the biological solutions for industrial infrastructure problems.,"41,485",http://novophage.com/,https://www.linkedin.com/company/novophage/,,,"Mike Koeris, Tanguy Chau, Tim Lu",Nov-50,2,Early Stage Venture,6/1/11,"$5,750,000 ",Series A,"$5,750,000 "
Tributes.com,https://www.crunchbase.com/organization/tributes-com,"Digital Media, News, Online Portals","Boston, Massachusetts, United States",Tributes.com is an online resource and community for current local and national obituary news.,"42,178",http://www.tributes.com,https://www.linkedin.com/company-beta/368161/,media@tributes.com,617-337-9400,,Nov-50,2,M&A,7/13/09,"$1,200,000 ",Series B,"$5,500,000 "
Aprius,https://www.crunchbase.com/organization/aprius,"Education, Enterprise Software, Hardware","Washington, District of Columbia, United States",Aprius is a venture funded company developing shared I/O gateway systems for data centers.,"43,575",http://www.aprius.com,,info@aprius.com,(408)524-3160,Jean-Marc Verdiell,Nov-50,3,Early Stage Venture,9/4/08,"$20,000,000 ",Series B,"$33,000,000 "
CallsFreeCalls,https://www.crunchbase.com/organization/callsfreecalls,"Mobile, Telecommunications, VoIP","Miami, Florida, United States","CallsFreeCalls is a mobile app that allows users to make FREE phone calls and SMS to ANY number, worldwide.","44,174",http://cfc.io,http://www.linkedin.com/company/callsfreecalls-com,adv@callsfreecalls.com,,Oleksii Vynogradov,10-Jan,3,Early Stage Venture,11/15/13,"$1,000,000 ",Series A,"$2,004,300 "
Empathetics,https://www.crunchbase.com/organization/empathetics,"E-Learning, EBooks, Health Care","Boston, Massachusetts, United States",Empathetics brings innovative empathy and relational skills training to the healthcare marketplace,"44,692",http://empathetics.com,https://www.linkedin.com/company/empathetics?trk=tyah,info@empathetics.com,(844) 407-2755,Helen Riess,10-Jan,1,Early Stage Venture,4/27/15,"$1,500,000 ",Series A,"$1,500,000 "
Nido Surgical,https://www.crunchbase.com/organization/nido-surgical,Medical Device,"Boston, Massachusetts, United States",Nido Surgical develops minimally invasive instruments for cardiac surgery based on technology developed a Boston's Children's Hospital.,"45,107",http://www.nidosurgical.com,https://www.linkedin.com/company/nido-surgical,,(800)819-6436,"Nikolay Vasilyev, Pedro del Nido",10-Jan,1,Early Stage Venture,2/7/17,"$1,300,000 ",Series A,"$1,300,000 "
Source Molecular,https://www.crunchbase.com/organization/source-molecular,,"Miami, Florida, United States",It is a private commercial laboratory founded in 2002 with a mission to fill the void between source identification research,"45,499",http://www.sourcemolecular.com/,https://in.linkedin.com/company/source-molecular-corporation,info@sourcemolecular.com,(786)513-2733,,Nov-50,1,Early Stage Venture,7/13/17,"$1,600,000 ",Series A,"$1,600,000 "
Energy Points,https://www.crunchbase.com/organization/energy-points,"Energy, Energy Management, Enterprise","Boston, Massachusetts, United States",The EnergyPoints platform enables the simple optimization management and planning of energy-related resources across the enterprise.,"45,738",http://www.energypoints.com/?CrunchBase,http://www.linkedin.com/company/energy-points-inc-,,,"Ory Zik, Roy Stein",Nov-50,1,Early Stage Venture,2/13/12,"$3,000,000 ",Series A,"$3,000,000 "
VKernel Corporation,https://www.crunchbase.com/organization/vkernel-corporation,"Cloud Computing, Data Center, Virtualization","Boston, Massachusetts, United States",VKernel provides capacity management and performance monitoring products for virtualized data centers and cloud environments.,"47,019",http://www.vkernel.com,https://www.linkedin.com/company-beta/245173/?pathWildcard=245173,VKernel.Info@quest.com,800-306-9329,Alex Bakman,Nov-50,2,M&A,5/13/09,"$7,000,000 ",Series B,"$11,600,000 "
FanPaaS,https://www.crunchbase.com/organization/fanpaas,"Internet of Things, Real Time, Sports","Miami, Florida, United States",FanPaaS a fan management platform to increase fan engagement and monetize the fan experience.,"50,689",http://fanpaas.com,,dcarson@fanpaas.com,(786)556-5025,Donald Carson,10-Jan,2,Early Stage Venture,6/15/17,,Series A,"$400,000 "
Mimoco,https://www.crunchbase.com/organization/mimoco,"Hardware, Software","Boston, Massachusetts, United States",Mimoco is engaged in the development of the flagship collection of MIMOBOTå¨ designer USB flash drives.,"50,973",http://www.mimoco.com,,humanoid@mimoco.com,1-888-MIMO-BOT,,Nov-50,2,Early Stage Venture,3/28/11,"$1,500,000 ",Series A,"$1,500,000 "
Mobile Media Content - TICKETING3D,https://www.crunchbase.com/organization/mobile-media-content,"3D Technology, Data Visualization, Mobile, SaaS, Ticketing","Miami, Florida, United States","Mobile Media Content, a Barcelona, Spain-based provider of virtual visualization technologies","51,144",http://mobilemediacontent.com,https://www.linkedin.com/company/mobile-media-content,info@mobilemediacontent.com,34 93 328 33 75,Francis  Casado,Nov-50,2,Early Stage Venture,9/1/17,,Series A,"$400,000 "
SnappCloud,https://www.crunchbase.com/organization/snappcloud,Mobile,"Washington, District of Columbia, United States","SnappCloud designs, builds and operates branded app stores for computer and mobile device makers.","51,792",http://www.snappcloud.com,http://www.linkedin.com/company/1023149,,202-446-1800,,Nov-50,3,Late Stage Venture,12/20/07,"$8,731,000 ",Series C,"$15,556,000 "
Carol Drives Inc,https://www.crunchbase.com/organization/carol-drives-inc,"Apps, Ride Sharing","Miami, Florida, United States",Carol Drives Inc is a ride-sharing app.,"53,064",,,info@caroldrives.com,754-207-3618,Rafael  Vecino ,Nov-50,2,Early Stage Venture,4/1/18,,Series A,"$100,000 "
Runity LLC,https://www.crunchbase.com/organization/runity-llc,"Lifestyle, Personal Health","Miami, Florida, United States",Get the whole world running again revealing and delivering the keys of flawless running practice to 2 Billion people,"54,689",http://www.runity.run,,hello@runity.run,,"Blas Chamorro, Brent Anderson, Juan Nieto, Rafael Espinosa de los Monteros Iglesias",10-Jan,2,Early Stage Venture,6/1/17,,Series A,"$310,000 "
RESTINå¨,https://www.crunchbase.com/organization/restin,"Health Care, Medical, Wellness","Washington, District of Columbia, United States","Restin massage chairs gives anyone an on-demand massage therapy, in their living room, every day.","57,885",https://restin.co,http://www.linkedin.com/company/restin,,1(202)719-0097,Frank Taylor,Nov-50,1,Early Stage Venture,9/14/17,"$240,000 ",Series A,"$240,000 "
model alliance,https://www.crunchbase.com/organization/model-alliance,"Fashion, Messaging, Mobile, Photo Sharing, Private Social Networking, Social Media Marketing","Miami, Florida, United States","First-ever mobile application for professional models, celebrities, fashion and advertising people, and Smm aggregator.","61,375",http://promo.modelalliance.international,,,,Kirill Bondarenko,10-Jan,2,Early Stage Venture,2/23/16,,Series A,"$1,000,000 "
PreVeil,https://www.crunchbase.com/organization/preveil,"Cyber Security, Information Technology, Software","Boston, Massachusetts, United States","PreVeil is a cybersecurity company, born out of research at MIT, that provides end-to-end encryption.","63,149",https://www.preveil.com,https://www.linkedin.com/company-beta/10199038,,,"Raluca Ada Popa, Randy Battat, Sanjeev Verma",Nov-50,1,Early Stage Venture,3/27/18,,Series A,
FlipKey,https://www.crunchbase.com/organization/flipkey,"E-Commerce, Travel, Web Browsers","Boston, Massachusetts, United States",FlipKey is a vacation rental marketplace that enables users to find and book a place to stay through its web platform.,"63,864",http://flipkey.com,https://www.linkedin.com/company/flipkey,info@flipkey.com,877-354-7539,"Carl Query, Jeremiah Gall, TJ Mahony",10-Jan,2,M&A,8/20/08,,Series A,"$500,000 "
GlobalPost,https://www.crunchbase.com/organization/globalpost,"Information Services, News, Online Portals","Boston, Massachusetts, United States","GlobalPost, an online news Web site that posts content from around the world.","67,528",,https://www.linkedin.com/company-beta/1119695/?pathWildcard=1119695,,617-854-3170,"Charles Sennott, Philip Balboni",Nov-50,1,M&A,1/12/09,"$8,200,000 ",Series A,"$8,200,000 "
Inmoo,https://www.crunchbase.com/organization/inmoo,"Film, Video","Miami, Florida, United States","Inmoo is an entertainment theater on the web, providing free access to films from PCs, smartphones, and more.","70,647",http://www.inmoo.com,https://www.linkedin.com/company/inmoo-inc.,,,,Nov-50,1,M&A,11/1/10,"$500,000 ",Series A,"$500,000 "
Mixx,https://www.crunchbase.com/organization/mixx,"Developer Tools, Social Bookmarking, Social Media","Washington, District of Columbia, United States",Mixx is a user-driven social media site allowing users to submit or find content by peers based on interest and location.,"75,553",http://mixx.com,,feedback@mixx.com,,Chris McGill,Nov-50,3,M&A,2/1/08,"$2,000,000 ",Series B,"$3,500,000 "
Biena Foods,https://www.crunchbase.com/organization/biena-foods,"Fitness, Health Care, Hospitality","Boston, Massachusetts, United States","We have a line of all-natural Roasted Chickpea Snacks in four different flavors. High protein, high fiber, delicious taste, perfect crunch.","76,956",http://www.bienafoods.com,http://www.linkedin.com/company/biena-foods,hello@bienafoods.com,617-547-6400,Poorvi Patodia,10-Jan,1,Early Stage Venture,6/14/17,,Series A,
Sonicbids,https://www.crunchbase.com/organization/sonicbids,"Audio, Marketing, Music","Boston, Massachusetts, United States","Sonicbids operates Social Music Marketing‰ã¢, a product suite enabling brand marketers to reach music fans using rich music-oriented content.","77,950",http://www.sonicbids.com,https://www.linkedin.com/company/sonicbids,support@sonicbids.com,16175021300,Panos Panay,Nov-50,1,M&A,8/13/07,"$4,500,000 ",Series A,"$4,500,000 "
Going,https://www.crunchbase.com/organization/going,"Event Promotion, Events, Information Services, Social Network","Boston, Massachusetts, United States","Going is a site that lets users connect with other event-goers before, during and after events.","79,668",http://www.going.com,https://www.linkedin.com/company-beta/40701/?pathWildcard=40701,feedback@going.com,,"Geoff Menegay, Rebecca Xiong, Roy Rodenstein",Nov-50,2,M&A,7/25/07,"$5,000,000 ",Series B,"$8,500,000 "
eegoes,https://www.crunchbase.com/organization/eegoes,"Events, Photography, Social Media, Video","Boston, Massachusetts, United States",egoes was an American-Swiss start-up social network.,"81,287",http://www.eegoes.com,,,,,10-Jan,3,Early Stage Venture,7/26/11,"‰âÂ1,000,000",Series B,"$2,099,945 "
Acorio,https://www.crunchbase.com/organization/acorio,"Enterprise Software, Information Services, Information Technology","Boston, Massachusetts, United States",Acorio helps customers to maximize the return on their investment in ServiceNow.,"83,301",http://www.acorio.com,http://www.linkedin.com/company/acorio-llc,info@acorio.com,617-933-7588,Frank Selldorff,Nov-50,1,Early Stage Venture,4/29/13,,Series A,
Potamus Trading,https://www.crunchbase.com/organization/potamus-trading,"Analytics, Risk Management, Trading Platform","Boston, Massachusetts, United States",Potamus Trading LLC is a Boston based broker-dealer situated on Boston's waterfront.,"90,236",http://www.potamustrading.com/,https://www.linkedin.com/company/potamus-trading-llc,info@potamustrading.com,6178558722,Eric Pritchett,Nov-50,1,Early Stage Venture,7/1/16,,Series A,
Mambo.com,https://www.crunchbase.com/organization/mambo-com,"Advertising, Internet, Marketplace","Miami, Florida, United States",Mambo.com an online marketplace for planning and promoting real world activities and events.,"90,990",http://www.mambo.com/,,,,"Chris Grandi, Greg Richards",Nov-50,2,Late Stage Venture,4/24/00,"$12,680,000 ",Series C,"$18,680,000 "
Streann Media,https://www.crunchbase.com/organization/streann-media,"Broadcasting, Content, Internet Radio, Video on Demand, Video Streaming","Miami, Florida, United States",Streann is the Enterprise SaaS platform for video content owners to launch next gen video streaming platforms like Netflix in 2 weeks! ,"104,176",http://www.streann.com/,https://www.linkedin.com/company/streann-media,info@streann.com,1(866)706-6247,"Antonio Calderon, Giovanni Punzo",Nov-50,1,Early Stage Venture,4/1/16,,Series A,
Entelios AG,https://www.crunchbase.com/organization/entelios-ag,"Energy, Energy Efficiency, Power Grid","Boston, Massachusetts, United States",Entelios is Europe‰Ûªs leading solutions provider for demand response and virtual power plants,"128,648",http://entelios.de/entelios/,https://www.linkedin.com/company/entelios-ag,,,,Nov-50,1,M&A,2/3/11,,Series A,
WindESCo,https://www.crunchbase.com/organization/windesco,Clean Energy,"Boston, Massachusetts, United States",WindESCo offers solutions for optimizing wind farms worldwide.,"132,957",http://www.windesco.com/,,contact@windesco.com,,Mohit Dua,10-Jan,1,Early Stage Venture,11/28/16,,Series A,
Third Screen Media,https://www.crunchbase.com/organization/thirdscreenmedia,"Ad Network, Advertising, Publishing","Boston, Massachusetts, United States","Third Screen Media provides a platform that enables advertisers, publishers and carriers to buy and sell mobile advertising.","143,089",http://www.thirdscreenmedia.com,https://www.linkedin.com/company/3279059,,617-531-6400,,10-Jan,2,M&A,2/21/06,"$5,000,000 ",Series B,"$8,000,000 "
ManageSoft,https://www.crunchbase.com/organization/managesoft,"Application Performance Management, Compliance, Enterprise Software","Boston, Massachusetts, United States",ManageSoft Offers automated software management solutions for large organizations.,"148,641",http://www.managesoft.com,,,(617)532-1600,,10-Jan,2,M&A,7/19/04,"$13,000,000 ",Series B,"$13,000,000 "
Electrolytic Ozone,https://www.crunchbase.com/organization/electrolytic-ozone,"Hardware, Software","Boston, Massachusetts, United States","Electrolytic Ozone Inc. (EOI), a Boston, MA-based company that develops and manufactures ultra-compact, ozone generators that are designed","169,488",http://www.eoi-oxygen.com,,,617-460-7604,,10-Jan,1,Early Stage Venture,11/3/10,,Series A,
SwapDrive,https://www.crunchbase.com/organization/swapdrive,"Data Storage, E-Commerce, File Sharing","Washington, District of Columbia, United States","SwapDrive offers an online storage solution allowing users to backup, store and access their data via a centralized platform.","170,327",http://www.swapdrive.com,,support@swapdrive.com,202-393-9900,,Nov-50,2,M&A,5/1/02,"$2,650,000 ",Series A,"$3,650,000 "
SelectX Pharmaceuticals Inc.,https://www.crunchbase.com/organization/selectx-pharmaceuticals-inc,Health Care,"Boston, Massachusetts, United States",SelectX Pharmaceuticals Inc. is a biopharmaceutical company focused on the discovery and development of aminoglycoside therapeutics.,"177,091",http://www.selectxpharm.com/,,info@selectxpharm.com,(508)798-0216,,Nov-50,1,Early Stage Venture,1/23/04,"$8,000,000 ",Series B,"$8,000,000 "
wumo,https://www.crunchbase.com/organization/wumo,"Digital Entertainment, Media and Entertainment, Social","Washington, District of Columbia, United States",Wumo is an international entertainment company focused on developing cross-media comedy products.,"191,705",http://kindofnormal.com/wumo,,mewulff@gmail.com,4528888070,Morten E. Wulff,10-Jan,1,Early Stage Venture,1/1/07,"$300,000 ",Series A,"$300,000 "
